packet_id,coder_id,TA1,TA2,TA3,TA4,SS1,SS2,SS3,SS4,SS5,use_case_decision,flag_premature_expertise,flag_role_drift,flag_over_technical,flag_misconception_loss,flag_logical_inconsistency,flag_unsupported_reasoning,notes,scenario_id,true_condition
F56975F6,CODER_A,5,4,3,4,3,2,2,2,3,feedback_policy_testing,0,0,0,0,0,0,,SC_1030,C1
F56975F6,CODER_B,4,4,5,5,2,3,2,3,3,learning_by_teaching,0,0,0,0,0,1,,SC_1030,C1
3A421D87,CODER_A,4,4,3,4,2,2,3,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_0946,C1
3A421D87,CODER_B,3,4,4,4,3,2,1,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_0946,C1
D29A759C,CODER_A,5,3,3,4,3,2,3,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_1116,C1
D29A759C,CODER_B,4,3,4,4,3,1,3,3,2,learning_by_teaching,0,0,0,0,0,0,,SC_1116,C1
2434C5BA,CODER_A,4,4,3,4,4,2,2,2,3,reject,0,0,0,0,0,0,,SC_0900,C1
2434C5BA,CODER_B,5,4,3,4,3,3,3,2,4,learning_by_teaching,1,0,0,0,0,0,,SC_0900,C1
320EECA9,CODER_A,5,4,4,4,2,2,2,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_0407,C1
320EECA9,CODER_B,4,5,4,5,3,1,1,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_0407,C1
B1BD0CC0,CODER_A,4,4,4,4,3,2,2,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_0487,C1
B1BD0CC0,CODER_B,4,4,4,4,2,3,2,3,3,feedback_policy_testing,0,0,0,0,0,0,,SC_0487,C1
45C9D561,CODER_A,4,4,3,4,3,3,3,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_1470,C1
45C9D561,CODER_B,3,5,3,4,3,3,3,2,2,reject,0,0,0,0,0,0,,SC_1470,C1
0916C27B,CODER_A,5,5,4,4,3,2,2,3,2,learning_by_teaching,0,1,0,0,0,1,,SC_0192,C1
0916C27B,CODER_B,4,5,3,4,4,3,3,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_0192,C1
89E80DC2,CODER_A,5,4,3,4,2,2,3,3,2,learning_by_teaching,0,0,0,0,0,0,,SC_0996,C1
89E80DC2,CODER_B,4,4,5,4,1,2,3,2,3,learning_by_teaching,0,1,0,0,0,0,,SC_0996,C1
DF14544B,CODER_A,4,4,4,4,3,2,2,2,3,learning_by_teaching,0,1,0,0,0,0,,SC_0746,C1
DF14544B,CODER_B,3,4,3,5,3,1,3,3,3,diagnostic_simulation,0,0,0,0,0,0,,SC_0746,C1
7E303054,CODER_A,4,4,4,4,3,2,3,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_0409,C1
7E303054,CODER_B,3,4,4,3,2,1,3,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_0409,C1
B8BDB9C0,CODER_A,4,3,4,4,3,2,2,1,3,learning_by_teaching,0,0,0,0,0,0,,SC_0243,C1
B8BDB9C0,CODER_B,4,4,4,4,3,2,2,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_0243,C1
E16D1881,CODER_A,4,5,4,4,2,2,3,2,4,learning_by_teaching,0,0,0,0,0,0,,SC_1036,C1
E16D1881,CODER_B,4,5,3,4,3,2,3,3,3,feedback_policy_testing,0,0,0,0,0,0,,SC_1036,C1
3DE91ED6,CODER_A,4,5,4,4,3,2,2,2,3,feedback_policy_testing,0,0,0,0,0,0,,SC_1527,C1
3DE91ED6,CODER_B,5,3,5,4,2,2,3,1,3,learning_by_teaching,0,0,0,0,0,0,,SC_1527,C1
FF80B87D,CODER_A,4,4,3,4,3,2,3,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_1030,C1
FF80B87D,CODER_B,4,3,4,4,3,2,2,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_1030,C1
64089044,CODER_A,4,4,4,4,2,2,3,2,3,diagnostic_simulation,0,0,0,0,0,0,,SC_1358,C1
64089044,CODER_B,4,3,4,3,3,3,3,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_1358,C1
82D812B0,CODER_A,4,4,4,4,3,2,2,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_1281,C1
82D812B0,CODER_B,5,4,5,4,3,1,3,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_1281,C1
02F1F0F5,CODER_A,4,4,3,4,3,2,3,1,2,learning_by_teaching,0,1,0,0,0,0,,SC_0072,C1
02F1F0F5,CODER_B,4,5,4,4,2,4,2,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_0072,C1
902D2B9F,CODER_A,5,4,4,4,3,2,2,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_1486,C1
902D2B9F,CODER_B,4,4,4,4,3,3,2,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_1486,C1
9B4923FE,CODER_A,4,4,4,4,3,2,3,2,2,feedback_policy_testing,0,0,0,0,0,0,,SC_0132,C1
9B4923FE,CODER_B,4,4,5,3,3,2,2,3,4,diagnostic_simulation,0,0,0,0,0,0,,SC_0132,C1
EB452F27,CODER_A,4,5,4,4,2,2,3,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_0292,C1
EB452F27,CODER_B,4,3,4,5,4,2,2,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_0292,C1
8835FE0C,CODER_A,4,4,3,4,3,2,2,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_1925,C1
8835FE0C,CODER_B,4,4,4,3,3,3,3,3,1,learning_by_teaching,0,0,0,1,0,0,,SC_1925,C1
319D1337,CODER_A,4,4,5,4,3,2,2,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_1340,C1
319D1337,CODER_B,4,4,4,4,3,2,3,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_1340,C1
30B00438,CODER_A,4,4,4,3,2,2,3,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_0014,C1
30B00438,CODER_B,4,3,5,4,3,2,2,2,3,learning_by_teaching,0,1,0,0,0,0,,SC_0014,C1
4C46EF25,CODER_A,4,4,3,5,3,2,3,2,4,learning_by_teaching,0,0,0,0,0,0,,SC_1363,C1
4C46EF25,CODER_B,5,4,4,3,2,2,4,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_1363,C1
8AC8571B,CODER_A,4,4,3,4,2,2,3,3,3,learning_by_teaching,0,0,0,1,0,0,,SC_0192,C1
8AC8571B,CODER_B,5,5,4,3,3,3,1,3,3,reject,0,1,0,0,0,0,,SC_0192,C1
A331DCB2,CODER_A,4,4,3,4,2,2,3,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_1119,C1
A331DCB2,CODER_B,5,4,3,4,3,1,3,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_1119,C1
8C0F6651,CODER_A,4,4,4,4,3,2,3,3,2,learning_by_teaching,0,0,0,0,0,0,,SC_1429,C1
8C0F6651,CODER_B,4,4,4,4,3,2,2,3,4,learning_by_teaching,0,0,0,0,0,0,,SC_1429,C1
E592A05B,CODER_A,4,4,4,4,3,2,1,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_1523,C1
E592A05B,CODER_B,4,3,4,3,3,2,3,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_1523,C1
5001A7F4,CODER_A,5,3,4,4,3,2,3,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_2147,C1
5001A7F4,CODER_B,4,3,5,4,3,2,3,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_2147,C1
312A6584,CODER_A,5,4,3,3,3,2,2,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_0570,C1
312A6584,CODER_B,4,3,4,4,3,2,3,1,3,reject,0,0,0,0,0,0,,SC_0570,C1
D62E2979,CODER_A,5,4,4,4,3,1,2,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_1515,C1
D62E2979,CODER_B,5,4,5,4,2,2,3,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_1515,C1
E3D6F7CC,CODER_A,4,4,4,4,2,2,2,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_0921,C1
E3D6F7CC,CODER_B,4,4,3,5,2,2,3,3,2,learning_by_teaching,0,0,0,0,0,0,,SC_0921,C1
D6D405A1,CODER_A,4,4,4,3,2,2,3,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_1572,C1
D6D405A1,CODER_B,5,4,4,4,3,2,4,2,3,diagnostic_simulation,0,1,0,0,0,0,,SC_1572,C1
AB80BD07,CODER_A,4,4,4,4,3,3,3,3,3,learning_by_teaching,0,0,0,1,0,0,,SC_1250,C1
AB80BD07,CODER_B,4,4,3,4,2,2,3,2,2,feedback_policy_testing,0,0,0,0,0,0,,SC_1250,C1
556CCEB5,CODER_A,4,4,4,4,2,2,2,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_1250,C1
556CCEB5,CODER_B,4,4,4,4,3,2,3,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_1250,C1
C83A35F5,CODER_A,4,4,3,4,3,2,3,3,2,learning_by_teaching,0,0,0,0,0,0,,SC_2108,C1
C83A35F5,CODER_B,4,3,3,4,4,1,2,2,4,learning_by_teaching,0,0,0,0,0,0,,SC_2108,C1
11FCABD1,CODER_A,5,4,4,4,4,2,3,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_1340,C1
11FCABD1,CODER_B,5,4,4,4,3,2,2,2,4,learning_by_teaching,0,0,0,1,0,0,,SC_1340,C1
EFD5AE2F,CODER_A,4,4,4,4,2,2,3,3,2,learning_by_teaching,0,0,0,0,0,0,,SC_0809,C1
EFD5AE2F,CODER_B,4,4,4,3,2,3,2,3,4,learning_by_teaching,0,0,0,0,0,0,,SC_0809,C1
C7D09723,CODER_A,4,4,4,4,2,2,2,3,2,learning_by_teaching,0,0,0,0,0,0,,SC_1181,C1
C7D09723,CODER_B,3,4,4,4,3,1,2,2,1,learning_by_teaching,0,0,0,0,0,0,,SC_1181,C1
B2816A09,CODER_A,4,4,4,4,3,3,3,3,2,feedback_policy_testing,0,0,0,0,0,0,,SC_0040,C1
B2816A09,CODER_B,5,5,3,4,3,2,3,2,3,reject,0,0,0,0,0,0,,SC_0040,C1
FF8D0F03,CODER_A,4,4,4,4,3,3,3,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_1253,C1
FF8D0F03,CODER_B,5,4,4,5,3,2,3,3,3,diagnostic_simulation,0,1,0,0,1,0,,SC_1253,C1
5A766989,CODER_A,5,4,4,4,3,2,1,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_1959,C1
5A766989,CODER_B,4,3,4,5,2,2,3,2,3,reject,0,1,0,1,0,0,,SC_1959,C1
D0377C42,CODER_A,4,4,4,3,3,2,2,3,3,diagnostic_simulation,0,1,0,0,0,0,,SC_0353,C1
D0377C42,CODER_B,4,4,4,4,3,2,2,2,2,learning_by_teaching,1,0,0,0,0,0,,SC_0353,C1
61AF009B,CODER_A,4,4,3,4,3,2,2,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_1358,C1
61AF009B,CODER_B,3,5,4,5,3,3,3,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_1358,C1
7977F25F,CODER_A,3,4,4,3,3,2,3,2,2,learning_by_teaching,0,1,0,0,0,1,,SC_0448,C1
7977F25F,CODER_B,5,4,3,5,4,2,3,2,2,diagnostic_simulation,0,0,0,0,0,0,,SC_0448,C1
7CE818FE,CODER_A,4,4,4,3,2,2,2,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_1260,C1
7CE818FE,CODER_B,5,4,4,4,2,2,3,1,2,feedback_policy_testing,0,1,0,0,0,0,,SC_1260,C1
0AE5017E,CODER_A,4,4,3,4,3,2,3,3,2,learning_by_teaching,0,0,0,0,0,0,,SC_0800,C1
0AE5017E,CODER_B,5,4,4,5,3,2,2,2,1,diagnostic_simulation,0,0,0,0,0,0,,SC_0800,C1
44007361,CODER_A,5,4,4,5,3,2,2,3,2,learning_by_teaching,0,0,1,0,0,0,,SC_0040,C1
44007361,CODER_B,4,4,4,4,3,2,3,3,3,reject,0,0,0,0,0,0,,SC_0040,C1
25F84836,CODER_A,4,4,4,4,2,2,3,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_0409,C1
25F84836,CODER_B,3,4,3,4,2,3,1,2,2,reject,1,0,0,0,0,0,,SC_0409,C1
BBC6715D,CODER_A,4,4,4,3,3,2,2,2,3,learning_by_teaching,0,0,0,1,0,0,,SC_1486,C1
BBC6715D,CODER_B,4,4,4,4,4,2,2,2,3,learning_by_teaching,1,0,0,0,0,0,,SC_1486,C1
9CFC25ED,CODER_A,4,4,4,4,2,2,3,3,3,learning_by_teaching,0,0,0,1,0,0,,SC_1820,C1
9CFC25ED,CODER_B,4,4,4,4,2,2,2,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_1820,C1
01A229F8,CODER_A,4,4,3,3,3,2,3,3,2,learning_by_teaching,0,0,0,0,0,1,,SC_1691,C1
01A229F8,CODER_B,4,3,3,3,3,3,3,2,2,feedback_policy_testing,1,0,0,0,0,0,,SC_1691,C1
1CF3A303,CODER_A,4,4,4,4,3,2,3,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_1082,C1
1CF3A303,CODER_B,4,5,4,4,2,2,3,2,2,feedback_policy_testing,0,0,0,0,0,0,,SC_1082,C1
DDF6D3CF,CODER_A,4,4,4,4,3,2,3,3,2,learning_by_teaching,0,0,0,0,0,0,,SC_0809,C1
DDF6D3CF,CODER_B,4,5,5,4,4,3,3,3,2,learning_by_teaching,0,0,0,0,0,0,,SC_0809,C1
D11C9B75,CODER_A,5,4,3,4,2,2,2,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_1919,C1
D11C9B75,CODER_B,4,4,3,4,2,3,2,2,2,learning_by_teaching,1,0,0,0,0,0,,SC_1919,C1
7D9A5342,CODER_A,4,4,4,4,3,2,3,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_2108,C1
7D9A5342,CODER_B,4,4,4,4,3,3,3,3,2,learning_by_teaching,0,0,0,0,0,0,,SC_2108,C1
ADD3066F,CODER_A,4,4,3,4,3,2,3,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_0553,C1
ADD3066F,CODER_B,4,4,4,3,3,3,2,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_0553,C1
F9F146A5,CODER_A,3,4,4,4,3,3,2,2,3,feedback_policy_testing,0,0,0,0,0,0,,SC_0393,C1
F9F146A5,CODER_B,5,4,4,3,4,3,3,3,2,learning_by_teaching,0,0,0,0,0,0,,SC_0393,C1
65E4443E,CODER_A,4,4,3,3,3,2,2,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_1919,C1
65E4443E,CODER_B,5,4,3,3,3,2,2,2,4,learning_by_teaching,1,0,0,0,0,0,,SC_1919,C1
AA6ADDBC,CODER_A,3,3,3,4,4,4,4,4,4,diagnostic_simulation,1,0,0,0,0,0,,SC_0800,C2
AA6ADDBC,CODER_B,2,2,4,4,5,5,4,4,5,learning_by_teaching,0,0,1,0,0,0,,SC_0800,C2
CDA5C601,CODER_A,2,2,2,3,4,4,3,4,4,diagnostic_simulation,0,0,0,0,0,0,,SC_0404,C2
CDA5C601,CODER_B,2,2,2,2,4,4,3,4,5,diagnostic_simulation,0,0,0,1,0,0,,SC_0404,C2
8F3EC829,CODER_A,2,2,3,3,4,4,4,4,4,diagnostic_simulation,0,0,0,0,0,0,,SC_1116,C2
8F3EC829,CODER_B,3,3,4,4,4,5,4,3,5,diagnostic_simulation,1,0,0,0,1,0,,SC_1116,C2
8A194B02,CODER_A,1,3,3,3,4,5,5,4,5,diagnostic_simulation,0,0,0,0,0,0,,SC_1523,C2
8A194B02,CODER_B,2,1,3,3,4,4,3,4,4,diagnostic_simulation,0,0,0,0,0,0,,SC_1523,C2
876A9932,CODER_A,3,3,3,4,4,4,4,4,5,diagnostic_simulation,0,0,0,1,0,0,,SC_1691,C2
876A9932,CODER_B,4,4,2,3,5,4,4,4,5,diagnostic_simulation,0,0,0,0,0,0,,SC_1691,C2
EA49A87B,CODER_A,3,3,3,3,4,4,4,3,4,diagnostic_simulation,1,0,0,0,0,0,,SC_1786,C2
EA49A87B,CODER_B,2,1,3,2,5,5,4,4,5,diagnostic_simulation,1,0,0,0,0,0,,SC_1786,C2
4BD9B41E,CODER_A,3,2,3,4,5,4,4,4,4,diagnostic_simulation,1,0,0,0,0,1,,SC_1515,C2
4BD9B41E,CODER_B,2,2,4,3,4,5,4,4,4,diagnostic_simulation,0,0,0,0,0,0,,SC_1515,C2
29298041,CODER_A,2,3,3,3,4,4,4,4,4,diagnostic_simulation,1,0,0,1,0,0,,SC_0097,C2
29298041,CODER_B,2,2,3,3,4,4,4,4,4,diagnostic_simulation,0,0,0,0,0,0,,SC_0097,C2
B8832DB9,CODER_A,3,3,2,3,4,4,4,4,4,diagnostic_simulation,0,0,0,0,0,0,,SC_1260,C2
B8832DB9,CODER_B,2,3,4,4,5,4,4,5,4,diagnostic_simulation,0,0,0,0,0,0,,SC_1260,C2
6066ED1E,CODER_A,2,3,3,3,4,5,3,4,4,diagnostic_simulation,0,0,0,0,0,0,,SC_0040,C2
6066ED1E,CODER_B,2,2,3,4,4,4,5,4,4,diagnostic_simulation,0,0,0,1,0,1,,SC_0040,C2
969B51FD,CODER_A,2,3,3,4,4,4,3,5,4,reject,0,0,0,0,0,0,,SC_1470,C2
969B51FD,CODER_B,2,2,3,3,3,4,4,3,5,diagnostic_simulation,0,0,0,0,0,0,,SC_1470,C2
F1AD378D,CODER_A,3,3,4,3,3,4,4,4,4,diagnostic_simulation,0,0,0,0,0,0,,SC_0243,C2
F1AD378D,CODER_B,3,2,3,3,4,4,3,4,4,diagnostic_simulation,1,0,0,0,0,0,,SC_0243,C2
92C7A62B,CODER_A,3,3,3,4,4,5,5,5,4,diagnostic_simulation,1,0,0,1,0,0,,SC_0123,C2
92C7A62B,CODER_B,3,3,3,4,4,4,4,5,5,diagnostic_simulation,1,0,0,0,0,1,,SC_0123,C2
899EA680,CODER_A,2,2,3,3,4,5,4,4,4,diagnostic_simulation,0,0,0,0,0,0,,SC_1416,C2
