item_id,qtype,domain,concept,difficulty,persona,model_id,model_tag,seed,demographic_context,generated_at,correct,grade_method,input_tokens,output_tokens,latency_ms,cost_usd,error
MCQ_013E5385,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:35.815250,,ungraded,279,72,1808.1,0.000495,
MCQ_01F91B2E,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:17.157707,,ungraded,279,53,1291.4,0.000438,
MCQ_02E5CC2A,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:36.120885,,ungraded,279,48,1168.4,0.000423,
MCQ_039FF43D,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:59.028547,,ungraded,280,52,1354.7,0.000436,
MCQ_0444F429,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:23.890931,,ungraded,280,52,1331.6,0.000436,
MCQ_04F94CAC,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:34.006429,,ungraded,281,92,2508.0,0.000557,
MCQ_08C432BC,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:00.862880,,ungraded,279,50,1568.8,0.000429,
MCQ_08CBC034,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:57.550403,1.0,pattern_match,279,75,1998.9,0.000504,
MCQ_09788676,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:50.596342,,ungraded,281,34,1229.2,0.000383,
MCQ_0B173F6A,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:57.378866,,ungraded,279,63,1576.3,0.000468,
MCQ_0D42F190,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:37.758216,1.0,pattern_match,279,75,1636.8,0.000504,
MCQ_10945921,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:49:08.478326,1.0,pattern_match,281,78,1758.0,0.000515,
MCQ_122599F2,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:57.050058,,ungraded,279,60,2164.9,0.000459,
MCQ_122BF5E6,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:43.841464,,ungraded,279,76,1558.1,0.000507,
MCQ_12FB22F1,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:53.746943,,ungraded,279,53,1534.0,0.000438,
MCQ_156241E9,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:52.674356,1.0,pattern_match,279,81,1935.4,0.000522,
MCQ_1568DEB3,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:18.661483,,ungraded,279,63,1617.7,0.000468,
MCQ_18859E24,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:26.606486,,ungraded,279,68,1973.8,0.000483,
MCQ_18AA7887,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:26.940280,,ungraded,279,46,1478.4,0.000417,
MCQ_193E7160,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:33.357646,1.0,pattern_match,281,82,2447.2,0.000527,
MCQ_1A2A80DA,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:41.062138,,ungraded,279,50,1265.1,0.000429,
MCQ_1D12D2C2,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:04.981836,,ungraded,279,80,1690.4,0.000519,
MCQ_1D12DDD6,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:49:21.201471,,ungraded,279,57,1664.1,0.00045,
MCQ_1D8EAFFC,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:57.664116,,ungraded,279,70,2007.1,0.000489,
MCQ_1FC3E81C,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:22.081385,,ungraded,279,73,1629.6,0.000498,
MCQ_20C7199B,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:45.515654,,ungraded,279,47,1405.8,0.00042,
MCQ_2215AD4C,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:42.349029,1.0,pattern_match,279,82,1725.5,0.000525,
MCQ_23C1C7B8,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:04.150633,,ungraded,279,60,1838.1,0.000459,
MCQ_241B5425,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:20.886422,,ungraded,279,80,2224.1,0.000519,
MCQ_25915E48,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:42.538555,0.0,pattern_match,279,80,1851.9,0.000519,
MCQ_27368F09,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:47.938845,1.0,pattern_match,281,78,3353.8,0.000515,
MCQ_28901916,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:52.260930,,ungraded,279,48,1683.8,0.000423,
MCQ_28CE39D1,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:49:15.086811,,ungraded,279,76,1673.0,0.000507,
MCQ_2910F48B,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:48.330045,,ungraded,279,46,2813.5,0.000417,
MCQ_2B0CBE09,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:20.299400,1.0,pattern_match,281,78,1725.4,0.000515,
MCQ_2BF71FB8,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:40.622755,,ungraded,279,77,1643.6,0.00051,
MCQ_327D36AC,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:09.134310,1.0,pattern_match,280,75,1751.9,0.000505,
MCQ_32F1507E,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:31.331276,0.0,pattern_match,279,90,2076.6,0.000549,
MCQ_350EDD98,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:37.779440,,ungraded,279,80,1855.2,0.000519,
MCQ_38196C21,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:01.598264,,ungraded,281,92,1922.4,0.000557,
MCQ_39AECF7D,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:44.258478,,ungraded,279,75,1651.5,0.000504,
MCQ_3B1E8258,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:47.503141,,ungraded,279,57,1462.2,0.00045,
MCQ_3EE35C2D,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:32.845855,,ungraded,280,63,1513.8,0.000469,
MCQ_3F6EFC1E,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:01.607269,,ungraded,280,48,1432.4,0.000424,
MCQ_3F83609A,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:07.075020,,ungraded,280,52,1501.0,0.000436,
MCQ_3F9950A8,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:13.247786,1.0,pattern_match,281,77,1482.6,0.000512,
MCQ_40558FFC,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:30.340350,1.0,pattern_match,281,84,1746.7,0.000533,
MCQ_43E18394,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:47.169591,,ungraded,281,34,1146.0,0.000383,
MCQ_447BA1CD,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:05.573416,,ungraded,279,61,1908.5,0.000462,
MCQ_4675C4D0,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:15.865589,1.0,pattern_match,279,80,1782.3,0.000519,
MCQ_46D4F987,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:49:13.413154,,ungraded,279,63,1528.1,0.000468,
MCQ_48C4BBE5,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:45.592632,,ungraded,279,77,1750.5,0.00051,
MCQ_4C07C331,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:53.965590,,ungraded,279,39,1469.5,0.000396,
MCQ_4C860337,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:49:19.536755,1.0,pattern_match,281,88,2300.2,0.000545,
MCQ_4C881F3E,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:28.592955,,ungraded,279,59,1652.1,0.000456,
MCQ_4CACDFD9,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:57.673027,,ungraded,279,57,1740.5,0.00045,
MCQ_4D20E297,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:12.980714,1.0,pattern_match,279,83,1830.1,0.000528,
MCQ_4E79865F,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:12.100619,1.0,pattern_match,279,103,1851.1,0.000588,
MCQ_51C6425C,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:55.550813,,ungraded,279,69,1471.1,0.000486,
MCQ_5438DBF0,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:50.576347,,ungraded,279,78,1702.3,0.000513,
MCQ_57884E5F,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:03.664227,1.0,pattern_match,281,76,1656.6,0.000509,
MCQ_579B63B5,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:32.286185,,ungraded,279,87,1877.1,0.00054,
MCQ_57B9FBB6,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:38.893921,,ungraded,279,77,1512.0,0.00051,
MCQ_58E42C40,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:36.665086,,ungraded,281,92,2006.1,0.000557,
MCQ_5AD98C1C,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:14.082578,,ungraded,281,75,1981.3,0.000506,
MCQ_5D61B029,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:15.307345,1.0,pattern_match,279,98,2325.9,0.000573,
MCQ_5F08ED40,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:31.497680,,ungraded,279,80,1903.5,0.000519,
MCQ_5FB79545,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:22.738811,1.0,pattern_match,281,88,1851.5,0.000545,
MCQ_60BBD359,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:58.606302,,ungraded,281,34,1555.4,0.000383,
MCQ_60DE5255,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:54.884371,,ungraded,279,54,2209.3,0.000441,
MCQ_61078FAF,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:49.210810,,ungraded,279,80,1707.1,0.000519,
MCQ_628C0D1A,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:49.464750,,ungraded,279,68,1525.1,0.000483,
MCQ_62D5EC35,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:20.815873,,ungraded,279,63,1470.4,0.000468,
MCQ_673E25D0,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:25.663831,1.0,pattern_match,279,76,1772.0,0.000507,
MCQ_67F76E8A,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:07.102215,1.0,pattern_match,281,84,2119.5,0.000533,
MCQ_68F8EDEA,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:27.812666,,ungraded,279,40,1179.1,0.000399,
MCQ_69C6D78D,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:49:10.436492,1.0,pattern_match,279,75,1957.2,0.000504,
MCQ_69D80871,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:11.149856,,ungraded,279,69,2014.9,0.000486,
MCQ_6B0E5217,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:59.675149,,ungraded,279,87,2123.9,0.00054,
MCQ_6B44A514,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:59.292840,,ungraded,281,75,1627.9,0.000506,
MCQ_6C494BBF,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:49:05.000807,,ungraded,279,52,1691.6,0.000435,
MCQ_6F550570,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:49.366575,,ungraded,279,48,1400.6,0.000423,
MCQ_73C2B555,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:34.476824,,ungraded,279,82,1630.2,0.000525,
MCQ_759784E4,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:37.392756,,ungraded,279,48,1576.7,0.000423,
MCQ_75D1EA90,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:59.763076,1.0,pattern_match,279,99,2383.1,0.000576,
MCQ_76B7D893,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:28.626937,,ungraded,280,52,2019.7,0.000436,
MCQ_76DAD7A1,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:22.558743,1.0,pattern_match,279,86,2258.5,0.000537,
MCQ_779F540E,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:42.282738,,ungraded,280,52,1642.5,0.000436,
MCQ_7823149A,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:51.083089,,ungraded,281,34,1196.4,0.000383,
MCQ_7843F341,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:29.593597,,ungraded,279,75,3929.1,0.000504,
MCQ_7926A485,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:52.212244,,ungraded,279,63,1440.3,0.000468,
MCQ_7B4AAEE0,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:03.214126,,ungraded,279,53,1615.2,0.000438,
MCQ_7E96D378,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:17.043143,1.0,pattern_match,279,87,2460.9,0.00054,
MCQ_7EEEB567,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:40.686010,1.0,pattern_match,281,84,1911.0,0.000533,
MCQ_8122144B,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:33.848653,,ungraded,280,63,1948.9,0.000469,
MCQ_82222B6A,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:38.781892,,ungraded,279,51,2115.9,0.000432,
MCQ_822AFE6A,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:14.004433,,ungraded,279,60,1619.4,0.000459,
MCQ_83627951,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:47.322445,,ungraded,279,80,1728.9,0.000519,
MCQ_83862C97,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:38.978383,1.0,pattern_match,279,77,1764.3,0.00051,
MCQ_841547A4,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:05.736348,1.0,pattern_match,281,76,1585.1,0.000509,
MCQ_84832CA0,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:08.629695,,ungraded,279,50,1554.0,0.000429,
MCQ_85A9A14D,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:46.023094,,ungraded,279,62,1764.0,0.000465,
MCQ_8657A4F2,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:02.006850,1.0,pattern_match,279,65,1850.6,0.000474,
MCQ_867C0A69,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:39.796406,,ungraded,281,76,2015.9,0.000509,
MCQ_88C9FCA7,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:52.021153,,ungraded,279,50,1424.1,0.000429,
MCQ_893C6B67,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:30.408249,,ungraded,279,63,1780.6,0.000468,
MCQ_89D44818,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:05.667614,1.0,pattern_match,279,80,2312.3,0.000519,
MCQ_8AFB933F,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:34.951935,1.0,pattern_match,279,83,1807.7,0.000528,
MCQ_8C5970AA,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:18.573348,,ungraded,279,59,1414.9,0.000456,
MCQ_8F8B9DDB,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:40.596525,1.0,pattern_match,281,84,1701.8,0.000533,
MCQ_9068888E,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:37.381340,,ungraded,279,71,1417.5,0.000492,
MCQ_93A7EE5F,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:01.401908,1.0,pattern_match,279,86,2372.5,0.000537,
MCQ_94FC1FC0,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:49:17.235931,1.0,pattern_match,279,86,2148.5,0.000537,
MCQ_9646CC9C,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:49:03.308703,,ungraded,279,53,1578.6,0.000438,
MCQ_977EB656,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:52.727716,,ungraded,279,85,1643.9,0.000534,
MCQ_97A48B1F,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:14.581678,,ungraded,280,52,1423.5,0.000436,
MCQ_999D9B8E,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:11.748638,,ungraded,281,38,5010.8,0.000395,
MCQ_9A51471B,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:09.719153,1.0,pattern_match,281,91,1808.1,0.000554,
MCQ_9AE54B44,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:58.803588,,ungraded,279,50,1272.1,0.000429,
MCQ_9C6D290D,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:11.764493,1.0,pattern_match,279,75,1643.7,0.000504,
MCQ_9D2D5C8E,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:18.921247,1.0,pattern_match,279,88,2011.9,0.000543,
MCQ_9E0E4EB3,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:50.771306,,ungraded,280,47,1305.8,0.000421,
MCQ_9E8440D4,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:22.595673,1.0,pattern_match,279,80,1778.9,0.000519,
MCQ_A023151A,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:29.284238,,ungraded,279,48,1470.9,0.000423,
MCQ_A080A529,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:54.079169,,ungraded,280,77,2057.2,0.000511,
